Face mask (physical object),Medication Reconciliation (procedure),Sputum examination (procedure),Throat culture (procedure),Fitness,Measurement of respiratory function (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure)
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,1.0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0
0,0,1.0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0
0,0,1.0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9599961600153599,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9599961600153599,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9599961600153599,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.7999680012799488,1.0,0.0,0.0,0.0
